,emotion
0,2
1,2
2,2
3,2
4,2
5,1
6,2
7,2
8,2
9,0
10,2
11,2
12,0
13,0
14,0
15,0
16,2
17,2
18,2
19,0
20,0
21,1
22,0
23,2
24,2
25,3
26,2
27,0
28,3
29,3
30,1
31,2
32,0
33,0
34,2
35,2
36,2
37,0
38,0
39,1
40,0
41,0
42,2
43,1
44,0
45,2
46,2
47,2
48,2
49,2
50,0
51,0
52,1
53,0
54,2
55,2
56,2
57,0
58,1
59,2
60,0
61,2
62,0
63,2
64,3
65,2
66,2
67,2
68,1
69,0
70,2
71,0
72,2
73,3
74,2
75,2
76,1
77,0
78,0
79,2
80,2
81,0
82,2
83,0
84,2
85,0
86,2
87,0
88,0
89,0
90,2
91,2
92,2
93,0
94,3
95,2
96,2
97,0
98,1
99,0
100,2
101,1
102,3
103,1
104,2
105,0
106,2
107,0
108,0
109,2
110,2
111,2
112,2
113,0
114,0
115,2
116,1
117,2
118,0
119,3
120,2
121,2
122,2
123,0
124,0
125,3
126,0
127,2
128,0
129,0
130,2
131,2
132,0
133,0
134,2
135,0
136,0
137,0
138,2
139,2
140,1
141,2
142,2
143,0
144,0
145,0
146,0
147,2
148,2
149,1
150,1
151,2
152,3
153,1
154,1
155,2
156,0
157,2
158,1
159,0
160,0
161,1
162,0
163,2
164,2
165,2
166,2
167,2
168,0
169,2
170,0
171,3
172,0
173,0
174,0
175,0
176,2
177,1
178,2
179,1
180,1
181,0
182,0
183,0
184,2
185,3
186,2
187,1
188,2
189,2
190,2
191,1
192,2
193,1
194,2
195,2
196,3
197,3
198,0
199,1
200,2
201,2
202,2
203,0
204,2
205,3
206,0
207,2
208,2
209,0
210,1
211,2
212,0
213,2
214,0
215,0
216,2
217,2
218,0
219,0
220,2
221,2
222,2
223,0
224,1
225,2
226,1
227,2
228,2
229,1
230,3
231,2
232,0
233,0
234,0
235,1
236,1
237,0
238,2
239,2
240,2
241,2
242,2
243,1
244,2
245,2
246,2
247,3
248,2
249,0
250,2
251,1
252,0
253,2
254,1
255,2
256,2
257,0
258,1
259,0
260,0
261,1
262,0
263,2
264,2
265,2
266,1
267,0
268,1
269,0
270,1
271,2
272,2
273,2
274,1
275,3
276,1
277,3
278,2
279,2
280,2
281,0
282,1
283,2
284,1
285,2
286,0
287,1
288,1
289,0
290,2
291,0
292,1
293,2
294,2
295,2
296,1
297,2
298,2
299,2
300,1
301,0
302,2
303,2
304,3
305,3
306,2
307,0
308,2
309,3
310,1
311,2
312,3
313,2
314,0
315,2
316,1
317,0
318,0
319,2
320,3
321,2
322,2
323,2
324,2
325,2
326,0
327,1
328,0
329,2
330,1
331,1
332,1
333,2
334,0
335,2
336,0
337,0
338,1
339,2
340,1
341,1
342,1
343,2
344,1
345,0
346,2
347,2
348,2
349,1
350,1
351,2
352,0
353,0
354,0
355,2
356,0
357,2
358,1
359,2
360,0
361,2
362,0
363,0
364,1
365,2
366,2
367,2
368,2
369,2
370,2
371,0
372,2
373,1
374,1
375,3
376,1
377,0
378,2
379,2
380,1
381,3
382,1
383,0
384,2
385,0
386,1
387,2
388,0
389,0
390,0
391,3
392,0
393,2
394,2
395,2
396,2
397,0
398,1
399,0
400,2
401,1
402,0
403,2
404,1
405,2
406,2
407,2
408,0
409,1
410,1
411,3
412,2
413,3
414,0
415,2
416,1
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,3
427,2
428,0
429,2
430,2
431,1
432,3
433,2
434,1
435,2
436,2
437,3
438,1
439,1
440,3
441,0
442,2
443,2
444,2
445,2
446,2
447,2
448,1
449,2
450,2
451,3
452,2
453,3
454,1
455,0
456,0
457,2
458,0
459,2
460,2
461,2
462,2
463,0
464,2
465,2
466,1
467,2
468,1
469,1
470,1
471,0
472,1
473,2
474,2
475,2
476,1
477,1
478,1
479,3
480,1
481,1
482,2
483,2
484,1
485,2
486,2
487,2
488,2
489,1
490,2
491,3
492,2
493,2
494,0
495,2
496,1
497,0
498,2
499,2
500,1
501,0
502,2
503,2
504,2
505,2
506,2
507,2
508,0
509,2
510,1
511,1
512,2
513,2
514,1
515,3
516,2
517,2
518,3
519,0
520,3
521,0
522,2
523,1
524,1
525,2
526,2
527,0
528,2
529,1
530,2
531,2
532,2
533,2
534,3
535,0
536,1
537,0
538,0
539,2
540,2
541,2
542,1
543,2
544,2
545,2
546,2
